name,latitude,longitude,Type of Hospital,Services,Number of Beds
1 ALJUNIED MEDICAL,1.33319,103.87878,public,"general services, urology",4397
1 BISHAN MEDICAL,1.35909,103.84457,"non-profit, private",general services,3068
1 MEDICAL TECK GHEE,1.36269,103.85469,private,"general services, urology, obstetrics, neurology, radiology",3757
1 TOA PAYOH MEDICAL,1.33907,103.85553,"private, non-profit","general services, obstetrics, cardiology, pathology, urology, neurology",8500
171 STIRLING FAMILY CLINIC,1.29077,103.80388,private,general services,1642
18 CLINIC,1.3190441,103.860798,public,"general services, radiology",7299
1DOC MEDICAL CENTRE(BEDOK),1.3190441,103.860798,"public, non-profit","general services, neurology, cardiology, radiology, urology, pathology, obstetrics, gastroenterology",5308
1DOC REDHILL FAMILY CLINIC,1.28967,103.85007,private,"general services, radiology, obstetrics",1423
338 FAMILY CLINIC,1.3631403,103.848685,"private, non-profit","general services, radiology, obstetrics",1283
360 CLINIC,1.3622425,103.8555242,private,"general services, pathology, urology, neurology, radiology",7828
57 MEDICAL CLINIC(GEYLANG BAHRU),1.3234255,103.8689449,"private, profit","general services, neurology, obstetrics, radiology, gastroenterology",2062
57 MEDICAL CLINIC(KALLANG AIRPORT),1.3101503,103.8852978,"public, profit","general services, radiology, obstetrics, neurology, urology, cardiology",6203
57 MEDICAL CLINIC(PARKWAY CENTRE),1.3019,103.906091,"private, non-profit","general services, pathology",8524
57 MEDICAL CLINIC(PEK KIO),1.3143398,103.8480363,profit,general services,1233
57 MEDICAL CLINIC(WOODLANDS),1.4340327,103.7754001,"profit, private","general services, urology",102
57 MEDICAL CLINIC(YISHUN),1.4187636,103.835592,"private, public","general services, pathology, obstetrics, gastroenterology, urology, radiology, neurology, cardiology",2732
94 DAWSON FAMILY CLINIC,1.2960612,103.811304,"private, public","general services, cardiology, neurology, obstetrics, radiology, pathology, gastroenterology, urology",8761
A FAMILY CLINIC,1.2813087,103.8448549,non-profit,general services,8666
A HEALING HEART MEDICAL CLINIC,1.3159054,103.8857566,"profit, public","general services, obstetrics, neurology, cardiology, pathology",6196
A LIFE CLINIC PTE LTD,1.28967,103.85007,profit,"general services, neurology",8501
A MEDICAL CLINIC,1.2774007,103.8401402,"public, private","general services, neurology, pathology, gastroenterology, radiology, cardiology, obstetrics",3433
A1 MEDICAL CLINIC,1.3225,103.96139,"profit, private","general services, obstetrics, urology, neurology, pathology",2353
ACACIA MEDICAL CLINIC,1.2818153,103.8030293,"public, profit","general services, pathology, obstetrics",5319
ACEHEALTH MEDICAL,1.3645796,103.8476933,non-profit,"general services, cardiology, neurology, obstetrics, radiology, urology",7993
